--- SUMMARY ---
2210 cases | mean|err|=5.502e-01 | max|err|=1.113e+01 | 107.17s

Cases with |err| > 0.1: 279

 Idx |        err |  Raw .scen line
------------------------------------------------------------------------------------------
   2 |   0.585786 | 0   bootybay.map    512     512     240     231     241     230     1.41421356
   3 |   0.585786 | 0   bootybay.map    512     512     288     260     285     259     3.41421356
  10 |   0.585786 | 1   bootybay.map    512     512     216     348     212     344     5.65685425
  11 |   0.585786 | 1   bootybay.map    512     512     296     302     299     296     7.24264069
  27 |   0.585786 | 2   bootybay.map    512     512     300     275     308     274     8.41421356
  55 |   7.615224 | 5   bootybay.map    512     512     224     283     207     298     23.21320343
  73 |   0.585786 | 7   bootybay.map    512     512     254     228     270     250     28.62741699
  83 |   7.615224 | 8   bootybay.map    512     512     324     352     304     326     34.28427124
 108 |   1.757359 | 10  bootybay.map    512     512     253     230     290     241     41.55634918
 111 |   4.100505 | 11  bootybay.map    512     512     203     339     237     372     47.66904755
 116 |   0.585786 | 11  bootybay.map    512     512     255     253     247     209     47.31370850
 137 |   1.757359 | 13  bootybay.map    512     512     329     354     339     394     55.45584412
 153 |   5.272078 | 15  bootybay.map    512     512     290     242     243     277     61.49747467
 163 |   0.585786 | 16  bootybay.map    512     512     220     347     171     382     65.84062042
 167 |   5.857864 | 16  bootybay.map    512     512     227     263     278     230     64.66904755
 169 |   1.757359 | 16  bootybay.map    512     512     313     351     265     398     67.46803741
 172 |   2.343146 | 17  bootybay.map    512     512     243     281     275     224     70.25483398
 177 |   7.029437 | 17  bootybay.map    512     512     351     336     404     365     71.01219330
 195 |   1.757359 | 19  bootybay.map    512     512     231     270     208     340     79.52691193
 198 |   4.100505 | 19  bootybay.map    512     512     237     238     293     288     76.71067810
 202 |   0.585786 | 20  bootybay.map    512     512     434     357     371     350     82.04163055
 244 |   0.585786 | 24  bootybay.map    512     512     213     322     245     237     98.25483398
 264 |   6.443651 | 26  bootybay.map    512     512     89      407     167     340     107.50966797
